,Material,Durchmesser,u_Durchmesser,[Durchmesser],Material_Boden,Bodendicke,u_Bodendicke,[Bodendicke],Abstand,u_Abstand,[Abstand],Frequenz,u_Frequenz,[Frequenz],Bemerkungen,signal,peak_pos,peak_height,peak_fwfm_height,peak_fwfm_left_pos,peak_fwfm_right_pos,peak_fwfm_width
1634,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8895.77282823373,7.34907898071103,6.529319062911564,8880.417078325698,8913.109797021612,32.692718695914664
1635,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,8975.71332556133,15.77069037260059,10.955672229743078,8962.805763245557,9041.678526213682,78.87276296812524
1636,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,9029.440432965459,13.624150305319484,12.502828997286983,9012.327990175,9037.122071929634,24.794081754635044
1637,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,9098.985967142335,9.08993135697795,8.299756932827488,9088.943250154809,9108.549093146656,19.605842991846657
1638,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,9177.573819102183,16.20193964153678,8.479090980429191,9147.042996333212,9207.037377414728,59.99438108151662
1639,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,9310.781325340968,4.096140449197757,3.9690171316648533,9305.83860515968,9319.778076304161,13.939471144480194
1640,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,9357.220187756438,7.910332943657778,5.427501016316903,9343.440424380748,9373.147943753467,29.707519372719617
1641,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,9526.700112366383,13.513275087450337,7.119288283898558,9505.974746586699,9572.410912203035,66.43616561633644
1642,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,9561.183427613338,8.611336911519723,8.485479192477797,9557.247726232774,9564.200669518219,6.952943285445144
1643,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,9920.01567189343,4.001673334780205,2.7725352835345145,9883.05924487027,10003.269528573952,120.21028370368185
1644,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,9981.04650921206,3.4124035624273272,3.2112608106448635,9968.802705397708,9991.536689740667,22.733984342959957
1645,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,10130.007908882735,2.8882116958679838,2.6387007246257133,10091.259551517425,10156.469881365449,65.21032984802332
1646,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,10335.851349788012,2.594862169395571,2.491155782196541,10321.901284530368,10375.419119957265,53.51783542689736
1647,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,10524.35223652506,2.8430842486529007,2.41801058302632,10403.92320935771,10575.704478225656,171.78126886794598
1648,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,10696.393160754295,2.2723697274876913,2.1498173063482833,10682.942982900116,10707.2643736079,24.321390707784303
1649,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,10897.631755435288,3.051987554361545,2.3020197724512927,10825.163250452812,11013.727232957317,188.56398250450547
1650,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,11061.123858864163,2.4361095502534797,2.312375549606771,11042.327731572228,11082.425016758367,40.09728518613883
1651,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,11154.126155897337,2.125999734493297,1.9903900500375884,11140.529062366943,11163.873071462098,23.344009095155343
1652,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,11231.08706566254,3.3893240319089104,3.1784532562281544,11222.965520160944,11241.463537076372,18.498016915427797
1653,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,11286.45228504299,4.29200547635658,4.1345833765715785,11279.375679648707,11295.923642270462,16.547962621754778
1654,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,11422.633550088209,15.136562126185956,8.086259141794436,11394.275574574742,11504.501143603356,110.2255690286147
1655,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,11483.139851054593,12.405691038748511,11.301309267182667,11468.391475428693,11493.572292903078,25.18081747438555
1656,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,11573.27608435307,11.36944524535424,8.36012878813097,11551.164818122224,11587.936397495245,36.77157937302036
1657,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,11701.52114302543,2.8812591005549137,2.047363282384527,11689.505510907771,11713.36884030721,23.863329399438953
1658,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,11877.439238752935,4.703043271649053,2.8795582029294096,11844.761361449668,11940.768177260215,96.00681581054778
1659,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,12073.68939896525,3.4893572510806288,2.8849488145585975,12051.54948160441,12091.914491970969,40.365010366558636
1660,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,12132.694803598553,2.6208567969161316,2.520311842652473,12123.68802590711,12140.680492391757,16.992466484647593
1661,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,12212.647656299927,2.056764797093766,1.8846403872671353,12188.611325579199,12235.883888804081,47.272563224882106
1662,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,12475.875172725502,5.876916903500596,3.5361097257121417,12412.191519169484,12507.550658824028,95.35913965454347
1663,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,12661.583254740992,2.9288735771200995,2.436221057070746,12631.364472709829,12711.619499515537,80.25502680570753
1664,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,12815.096353653767,3.020407807988183,2.1559026441174254,12762.049901701597,12866.877924002914,104.8280223013171
1665,Kupfer,0.4,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.059,0.000289,m,220,50,Hz,Calib Sign not visible on mes end,Ref,12962.537718875205,1.7588709511253786,1.6391053131061706,12950.124127150484,12981.704900513381,31.580773362897162
1666,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,378.47085906446137,2.4510337747232493,1.6821652814086767,372.5483453642798,383.6968366490518,11.148491284772035
1667,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,505.5768159685182,7.3458747353994704,6.916075435550862,496.78901381378637,514.8567412098434,18.06772739605708
1668,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,522.5185663731569,6.7918142673329465,6.658352519384621,521.3597579839711,523.4523012266573,2.0925432426861335
1669,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,552.6959785108113,7.955123133472178,3.9826932029319617,482.82623573930215,586.583369772453,103.75713403315086
1670,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,582.561571600118,4.360607068449854,4.257353842489855,581.4955469714411,583.2770807543519,1.7815337829108557
1671,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,593.7387007450554,3.4558922983981586,3.245389869683115,592.6111769288268,596.3947679087352,3.783590979908354
1672,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,765.521921448018,4.365395447525377,2.6850569771438995,737.9957261782191,793.5647058142457,55.5689796360266
1673,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,809.1045603919754,2.1283039047193952,1.8661520293085812,804.6616732989052,815.267336783751,10.605663484845877
1674,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,848.09358503715,2.0919395354820107,1.9683057563518362,844.0534566031605,853.6035772993931,9.550120696232625
1675,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,902.1904602435037,2.759207023552975,2.598469674460545,898.2934888797112,904.8013102696901,6.507821389978972
1676,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,917.1114103112873,2.8027140786443914,2.1312408795118336,884.1854792087626,922.501689625206,38.31621041644348
1677,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,944.152582539999,2.735236529098132,2.301350542401843,940.1503229476492,953.3154399307753,13.16511698312604
1678,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,966.3636729772276,2.1994079923209755,2.0903888841587235,964.9702765803096,969.3877397539636,4.417463173654028
1679,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,1092.9883869332302,0.9879521165078103,0.6013853936884619,1073.0898378236038,1118.4727049484236,45.38286712481977
1680,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,1253.8293960932658,0.6024884391329414,0.41092825847412956,1234.5792852993418,1261.5384669971966,26.959181697854774
1681,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,1343.169884119548,0.3530871288599373,0.22135432709374508,1321.85620875699,1369.0402638544624,47.18405509747231
1682,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,1647.2606954531748,0.27224000708640084,0.15886749311709658,1623.65617683106,1663.7783864401251,40.12220960906507
1683,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,2322.9024898351317,0.2953369066297571,0.15292085889928386,2304.4119617672686,2342.7490175986813,38.33705583141273
1684,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Mes,10323.847598211822,0.2668023919697162,0.14347741394697422,10234.183948923912,10431.100713280155,196.91676435624322
1685,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,486.6929271438781,1.6846606377575823,1.4984292255441587,448.58656387291813,497.2384337412287,48.65186986831054
1686,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,547.6428317325344,1.515843291958895,1.3143386300090256,529.3240293770858,575.5785888847877,46.254559507701856
1687,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,745.2066073084517,1.369315239704032,1.212936121255611,703.5211479635037,759.5481107569087,56.026962793405005
1688,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,879.0359974983498,1.8770857430505048,1.7305832694750096,875.4478676273725,883.3591316626361,7.911264035263571
1689,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,996.7652488520549,2.501345106053286,1.6626580957308672,937.552905924296,1089.9687138306908,152.41580790639478
1690,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1030.547204075608,2.104843675109709,1.9782614695058023,1027.56560007122,1034.5958508181868,7.030250746966885
1691,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1050.772204920168,2.209273379988643,1.9878362339941984,1043.728414908725,1064.2899096883746,20.561494779649593
1692,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1146.4994623444209,1.4217892262514242,1.2551644957954375,1129.1404732438207,1159.4181000824074,30.277626838586684
1693,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1236.652221499744,1.3463610626793718,1.1809781257020038,1222.275573366976,1258.5034020027845,36.227828635808464
1694,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1293.374106501736,1.3967090435634801,1.1871055759867293,1283.063912625043,1312.1012906597236,29.037378034680614
1695,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1345.8031226559453,1.7746316167879874,1.5016046643478185,1337.110848197692,1360.6009686465597,23.490120448867856
1696,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1408.4741535240928,1.9580942870547373,1.4347179186336776,1384.7701517881007,1438.6548032913283,53.88465150322759
1697,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1474.347258389293,2.2147661935071388,1.7207894713337155,1469.4595440336032,1492.6706470847942,23.211103051191003
1698,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1544.2932162414024,3.154272436500609,2.185994500891425,1539.1795415164318,1553.967552810296,14.788011293864201
1699,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1598.0946022984267,3.4647582027667365,2.2986009828220504,1593.3360712034792,1602.115078572202,8.779007368722887
1700,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1623.9748334695512,2.4157187444844546,2.0326089460207237,1620.5354016815509,1627.070928386838,6.535526705287111
1701,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1669.9420394968315,4.090345882657703,2.3772477779921184,1662.8759577459075,1682.066073132118,19.190115386210437
1702,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1735.7046294157014,2.168308045926344,1.6219961308670179,1720.9543056821935,1743.033234119298,22.078928437104423
1703,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1754.7626487178347,2.0796768655044104,1.8100782155340363,1751.956050254088,1758.182505076397,6.2264548223090515
1704,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1781.5477693078517,1.4006873193176446,1.1533922163746366,1777.521528919174,1786.3046907598032,8.783161840629191
1705,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1815.379561897683,2.385633854994846,1.4778848071674433,1807.127806520774,1831.7918670601894,24.66406053941546
1706,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1848.736646995027,1.0667523910642935,0.9466580415814965,1845.1761522717259,1861.642928434988,16.46677616326224
1707,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1898.6387954942486,1.9852927642689282,1.31198352559746,1891.5145815456801,1903.085826452482,11.571244906801894
1708,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,1973.194898883044,1.4597672391479428,0.9938587704688752,1946.2075137728268,1980.3981337791167,34.19062000628992
1709,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2028.906378628991,2.700195050550752,1.9635220653033285,2012.2140286708725,2033.1421289313905,20.928100260518022
1710,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2067.403718707026,3.346140957346873,3.2182740090945003,2065.7656334029107,2069.2978812190026,3.5322478160919673
1711,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2077.6672247750544,3.9108991791378047,3.281251653427519,2073.753603219771,2080.675337790359,6.921734570588342
1712,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2094.580134131256,4.978376810252104,4.233616565037877,2091.59215850271,2099.7123122807134,8.120153778003441
1713,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2156.1068444206503,8.57740163948783,7.376641264013378,2150.456160087236,2161.181869805819,10.725709718582948
1714,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2177.768821595927,9.035110487814787,7.395976873777396,2172.671565756902,2190.138721974618,17.46715621771591
1715,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2185.9627743125716,8.470265282521368,8.3351959846758,2184.5921756895746,2187.2416533560463,2.649477666471739
1716,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2207.9841789505303,7.294526719422911,6.58646543572339,2198.962965076719,2211.759605924415,12.79664084769638
1717,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2229.9699960154257,14.216245674351974,8.35294907888943,2224.2198731994317,2241.980673195405,17.76079999597323
1718,Kupfer,0.2,0.002405,mm,Laborbuch_Papier,0.01,0.002405,mm,3.035,0.000289,m,373,50,Hz,,Ref,2252.8334465740477,7.1060177275596725,6.57584591022005,2250.1218315290675,2255.452862714973,5.331031185905431
